,разметка,текст,контекст,community_id,community_type
0,speech,Спасибо!,post,1,nontoxic
1,speech,вау спасибо большое!!,post,1,nontoxic
2,speech,Супер! Благодарю🙏,post,1,nontoxic
3,speech,"офигеть, спасибо!",post,1,nontoxic
4,speech,спасибо за проделанную работу 💙,post,1,nontoxic
5,speech,Спасибо большое!,post,1,nontoxic
6,positive,"Это отличная книга, которая очень поможет в разговорах о веганстве! Я в сумме ее прочитал более десяти раз) 
Приятного чтения)",post,1,nontoxic
7,negative,"на 3 файл пишет, что файл повреждён :(",post,1,nontoxic
8,speech,"[id339711695|Денис], да","[id479069939|Maxiin], вы про mobi?",1,nontoxic
9,positive,Каеф!,post,1,nontoxic
10,neutral,"Не забывайте, пожалуйста, переходить по ссылкам и поддерживать девушек на других площадках ✨",post,1,nontoxic
11,neutral,"было бы интересно посмотреть разбор фильма полный расколбас😅
он правда не детский вовсе",post,1,nontoxic
12,skip,"[id182640933|Юля], ну да, там 18+","было бы интересно посмотреть разбор фильма полный расколбас😅
он правда не детский вовсе",1,nontoxic
13,neutral,"Да, язык и отражает и формирует нашу культуру, все верно.",post,1,nontoxic
14,neutral,"[id2472189|Антон], проблема в том, что это слово выделяет трупы животных в качестве более аморального продукта в сравнении с прочими продуктами животного происхождения, таким образом неизбежно подразумевая их в качестве предпочтительных альтернатив.

UPD. Прошу прошения, невнимательно прочёл ваш комментарий и пропустил «не».","Не совсем ясно, что хотел сказать админ, но я не думаю, что «трупоеды» - это приемлемо.",1,nontoxic
15,skip,"я обычно говорю ""всеядные""",post,1,nontoxic
16,skip,"[id91239642|Оксана], веганство не только про еду ☝","я обычно говорю ""всеядные""",1,nontoxic
17,skip,"[id91239642|Оксана], а должно быть ""карнисты""","я обычно говорю ""всеядные""",1,nontoxic
18,skip,"[id181320221|Алина], ""карнизм"" это какая-то мутная тема.
Если уж на то пошло, то ""спесишисты"".","[id91239642|Оксана], а должно быть ""карнисты""",1,nontoxic
19,skip,"[id181320221|Алина], https://vk.com/@veganim-carnism","[id91239642|Оксана], а должно быть ""карнисты""",1,nontoxic
20,skip,Терапевке😐,post,1,nontoxic
21,speech,"[id162136447|Сюзанна], что не так?",Терапевке😐,1,nontoxic
22,skip,"[id328549038|Антонина], нет такого слова.","[id162136447|Сюзанна], что не так?",1,nontoxic
23,skip,"[id162136447|Сюзанна], изуродовать? То есть студентка тоже уродство?🤣","[id554709498|Victoria], лучше бы почитала мед литературу и разобралась со своими анализами, чем тупые слова употреблять. А потом пошла бы к грамотному врачу и он решил бы и рекомендовал, что надо и сколько пить и тд. 
А то изуродовать название профессии в состоянии, а сама разобраться со своими болячками нет.",1,nontoxic
24,skip,"[id162136447|Сюзанна],
1) Если человек не связан с медициной, как он может найти хорошую медицинскую литературу, на что ему опираться? И как её читать, что он из неё поймёт?
2) Самолечение - плохо, даже если есть диплом врача. Всегда нужно мнение того, кто каждый день работает с такими случаями.
3) Знаете, с феминитивами не как с именами: кому-то нравится терапевтка, кому-то - Сюзанна.
Употребление феминитивов - не вопрос вкуса, а вопрос отражения женщин в разных профессиях. Вопрос уважения. А язык испортить нельзя, это динамичная структура, отражающая современные явления. Можно испортить свой словарный запас. Например, избытком эмоционально-оценочной лексики пренебрежительного типа (""тупой"", ""болячки"").
Авторке поста здоровья.","[id554709498|Victoria], лучше бы почитала мед литературу и разобралась со своими анализами, чем тупые слова употреблять. А потом пошла бы к грамотному врачу и он решил бы и рекомендовал, что надо и сколько пить и тд. 
А то изуродовать название профессии в состоянии, а сама разобраться со своими болячками нет.",1,nontoxic
25,skip,"[id162136447|Сюзанна], а есть слова ""уборщица"", ""мойщица"", ""продавщица"", ""кассирша"" ? Или непрестижные профессии можно называть в женском роде, а престижные только в мужском? Патриархальный устой разваливается, так что смиритесь, что женщины становятся заметными.","[id554709498|Victoria], лучше бы почитала мед литературу и разобралась со своими анализами, чем тупые слова употреблять. А потом пошла бы к грамотному врачу и он решил бы и рекомендовал, что надо и сколько пить и тд. 
А то изуродовать название профессии в состоянии, а сама разобраться со своими болячками нет.",1,nontoxic
26,skip,"[id643714|Давид], самое прямое отношение.","[id330320411|Неля], директриса есть такое слово, просторечье докторша. Вообще какое отношение имеют правила русского языка к патриархальному устрою? Большинство этих слов взаимоствованы из латыни и англ. языка  где в принципе нет окончаний и указаний пола.Я понимаю что язык может развиваться, но тут тупо коверканье. Выбор врача по половому признаку лолшто??, т.е. к врачу терапевту вы не пойдете только к врачихе-терапервтке? Что за сексизм? А есть люди которые ходят только к врачам трансам?    И можно услышать  феменитивы к словам кофе, стол, стул, унитаз, борщ, телевизор ?",1,nontoxic
27,skip,"[id643714|Давид], язык отражает общественные явления. Патриархат - одно из них. В латыни ЕСТЬ окончания и указания рода, в английском есть суффиксы, указывающие на пол, либо не говорите о том, чего не знаете, либо не врите.
Нет, не коверканье. Сто лет назад ""машинистка"", ""студентка"" и ""велосипедистка"" тоже считались коверканьем. А теперь это не так. Дело в степени принятия обществом, а не в благозвучности или в чём-то ещё. Всё новое странно и непривычно, но язык в этом не виноват, а виноваты те, кому комфортно жить без изменений...при патриархате.
Если авторка написала, что хочет пойти к терапевтке, на это может быть много причин, о которых не Ваше дело судить. Обвинять женщину, использующую феминитивы, в сексизме - вот это и есть сексизм.
И да, неодушевлённые предметы, с которыми Вы так вежливо и по-джентельменски сравнили женщин, не имеют феминитивов, потому что не боролись за свои права и не испытывали многовековой дискриминации,что,конечно, было бы невозможным.","[id330320411|Неля], директриса есть такое слово, просторечье докторша. Вообще какое отношение имеют правила русского языка к патриархальному устрою? Большинство этих слов взаимоствованы из латыни и англ. языка  где в принципе нет окончаний и указаний пола.Я понимаю что язык может развиваться, но тут тупо коверканье. Выбор врача по половому признаку лолшто??, т.е. к врачу терапевту вы не пойдете только к врачихе-терапервтке? Что за сексизм? А есть люди которые ходят только к врачам трансам?    И можно услышать  феменитивы к словам кофе, стол, стул, унитаз, борщ, телевизор ?",1,nontoxic
28,speech,"[id643714|Давид], согласна с вами 🤦‍♂️","[id330320411|Неля], директриса есть такое слово, просторечье докторша. Вообще какое отношение имеют правила русского языка к патриархальному устрою? Большинство этих слов взаимоствованы из латыни и англ. языка  где в принципе нет окончаний и указаний пола.Я понимаю что язык может развиваться, но тут тупо коверканье. Выбор врача по половому признаку лолшто??, т.е. к врачу терапевту вы не пойдете только к врачихе-терапервтке? Что за сексизм? А есть люди которые ходят только к врачам трансам?    И можно услышать  феменитивы к словам кофе, стол, стул, унитаз, борщ, телевизор ?",1,nontoxic
29,skip,"[id162136447|Сюзанна], напитки покрепче,слова покороче.Так проще,так легче стираются дни и ночи.
Я не против употребления новомодных феминитивов,но употреблять надо правильно и смотреть,как звучит в предложении.Здесь это как оскорбление.Терапевка,девка...
Совершенно не уместное употребление,согласитесь.",Терапевке😐,1,nontoxic
30,skip,"Мб букву пропустили, терапевтка, уже лучше звучит. И вообще меня лично никогда не коробили феминитивы даже когда впервые их услышал. Разве что показалось странным и необычным, но предрассудков не было, нормально принял эту тему. Это дело привычки, вообще многим людям свойственно бояться нового и отрицательно реагировать, многие не готовы к новому и изменениям каким либо, но от этого никуда не уйти","[id162136447|Сюзанна], напитки покрепче,слова покороче.Так проще,так легче стираются дни и ночи.
Я не против употребления новомодных феминитивов,но употреблять надо правильно и смотреть,как звучит в предложении.Здесь это как оскорбление.Терапевка,девка...
Совершенно не уместное употребление,согласитесь.",1,nontoxic
31,skip,"[id126516380|Игорь], согласна.Но именно терапевтка на слух как терапевка.Не пропустила.Специально написала как на слух.
Летчица .Здорово!Ок.Это здорово вводить новое.Но только в общем контексте и звучании надо стараться все же соблюдать красоту речи.

Это как слово солнце.
Есть""л"",а на слух""сонце_и так и пишут ведь большинство учеников, привыкают и потом ошибки.
Или трамвай.Есть""м"",а многие упорно заменяют ""м""на ""н'
Особенно режет слух когда долго не слышал родную речь.","Мб букву пропустили, терапевтка, уже лучше звучит. И вообще меня лично никогда не коробили феминитивы даже когда впервые их услышал. Разве что показалось странным и необычным, но предрассудков не было, нормально принял эту тему. Это дело привычки, вообще многим людям свойственно бояться нового и отрицательно реагировать, многие не готовы к новому и изменениям каким либо, но от этого никуда не уйти",1,nontoxic
32,neutral,"[id346686984|Julz], скорее всего девушка пропустила букву, обычно пишут терапевтка. Ничего оскорбительного тут нет, просто вам кажется это непривычным. Времена меняются, репрезентация женщин это классно.","[id162136447|Сюзанна], напитки покрепче,слова покороче.Так проще,так легче стираются дни и ночи.
Я не против употребления новомодных феминитивов,но употреблять надо правильно и смотреть,как звучит в предложении.Здесь это как оскорбление.Терапевка,девка...
Совершенно не уместное употребление,согласитесь.",1,nontoxic
33,speech,"Да я пропустила букву, точно ""Терапевтка""! Не заметила.",Терапевке😐,1,nontoxic
34,skip,"[id330320411|Неля], полагаю,да.
Но учительница можно употреблять без вульгаризма.
Воспитательница...А вот терапевтка все таки  вульгарно.","[id346686984|Julz], Дети всегда употребляют феминитивы, но с возрастом их переучивают говорить ""правильно"". Не учительница, воспитательница, повариха, а учитель, воспитатель и повар.",1,nontoxic
35,skip,"[id126516380|Игорь], откуда?
Скорее всего,пропустила.
И так и есть.
Надо избегать вульгаризма .Не всегда новое это хорошо и красиво.","Но вы же не авторка поста как я вижу, от куда вам знать пропустила она букву или нет 🤔",1,nontoxic
36,skip,"[id322684775|Женя], сомневаюсь, что сто лет назад данные феминитивы считались коверканьем, ведь всё-таки они созданы по правилам русского языка.💁🏽‍♀️ Когда людям просто не привычно это не считается коверканьем. ""Машини́стку"" или ""студе́нтку"" нельзя сравнить с ""до́кторкой"", ""бло́геркой"", ""а́вторкой"". Эти слова просто не звучат. Но объяснить, что если ударение падает на корень, а не перед суффиксом, то суффикс ""-ка"" здесь не подходит – люди не могут. Здесь было бы грамотнее использовать суффикс ""-ша"", так как благозвучность важна. Но я никого не упрекаю в использовании этих феминитивов, всё-таки нормы для них ещё нет. Как раз ""терапевтка"" подходит под правило и звучит, просто как Вы сказали, оно новое и некоторым непривычно. 🤷🏽‍♀️
У всех русских названий профессий и родов деятельности есть феминитивы, в отличии от слов латинского происхождения. Но надеюсь, со временем и к ним подберут грамотные феминитивы и закрепят в словарях.","[id643714|Давид], язык отражает общественные явления. Патриархат - одно из них. В латыни ЕСТЬ окончания и указания рода, в английском есть суффиксы, указывающие на пол, либо не говорите о том, чего не знаете, либо не врите.
Нет, не коверканье. Сто лет назад ""машинистка"", ""студентка"" и ""велосипедистка"" тоже считались коверканьем. А теперь это не так. Дело в степени принятия обществом, а не в благозвучности или в чём-то ещё. Всё новое странно и непривычно, но язык в этом не виноват, а виноваты те, кому комфортно жить без изменений...при патриархате.
Если авторка написала, что хочет пойти к терапевтке, на это может быть много причин, о которых не Ваше дело судить. Обвинять женщину, использующую феминитивы, в сексизме - вот это и есть сексизм.
И да, неодушевлённые предметы, с которыми Вы так вежливо и по-джентельменски сравнили женщин, не имеют феминитивов, потому что не боролись за свои права и не испытывали многовековой дискриминации,что,конечно, было бы невозможным.",1,nontoxic
37,skip,"[id162136447|Сюзанна], абсолютно нормальный феминитив, созданный по правилам русского языка. Что не так?",Терапевке😐,1,nontoxic
